1985313,Bristol,Bristol,Outdoor,1985,A,48,
1985540,Wimbledon,London,Outdoor,1985,G,128,"$1,266,755 "
1985315,Newport,Newport,Outdoor,1985,A,32,
1985580,Australian Open,Melbourne,Outdoor,1985,G,96,"$795,161 "
1985338,Sydney,Sydney,Outdoor,1985,A,56,
19857308,Adelaide,Adelaide,Outdoor,1985,A,32,
1985340,Melbourne,Melbourne,Outdoor,1985,A,32,
1986311,London,London,Outdoor,1986,A,64,
1986313,Bristol,Bristol,Outdoor,1986,A,48,
1986540,Wimbledon,London,Outdoor,1986,G,128,"$1,481,690 "
1986315,Newport,Newport,Outdoor,1986,A,32,
19877308,Adelaide,Adelaide,Outdoor,1987,A,32,
1987580,Australian Open,Melbourne,Outdoor,1987,G,96,"$845,161 "
1987338,Sydney,Sydney,Outdoor,1987,A,32,
1987311,London,London,Outdoor,1987,A,64,
1987313,Bristol,Bristol,Outdoor,1987,A,48,
1987540,Wimbledon,London,Outdoor,1987,G,128,"$1,752,592 "
1987315,Newport,Newport,Outdoor,1987,A,32,
1988338,Sydney,Sydney,Outdoor,1988,A,32,
1988311,London,London,Outdoor,1988,A,64,
1988313,Bristol,Bristol,Outdoor,1988,A,48,
1988540,Wimbledon,London,Outdoor,1988,G,128,"$1,995,396 "
1988315,Newport,Newport,Outdoor,1988,A,32,
1989311,London,London,Outdoor,1989,A,64,
1989313,Bristol,Bristol,Outdoor,1989,A,32,
1989540,Wimbledon,London,Outdoor,1989,G,128,"$2,384,162 "
1989315,Newport,Newport,Outdoor,1989,A,32,
1990311,London,London,Outdoor,1990,A,56,"$500,000 "
1990440,S-Hertogenbosch,Rosmalen,Outdoor,1990,A,32,"$250,000 "
19907310,Manchester,Manchester,Outdoor,1990,A,32,"$250,000 "
1990540,Wimbledon,London,Outdoor,1990,G,128,"$2,670,863 "
1990315,Newport,Newport,Outdoor,1990,A,32,"$175,000 "
1991311,London,London,Outdoor,1991,A,56,"$500,000 "
1991440,S-Hertogenbosch,Rosmalen,Outdoor,1991,A,32,"$250,000 "
19917310,Manchester,Manchester,Outdoor,1991,A,32,"$250,000 "
1991540,Wimbledon,London,Outdoor,1991,G,128,
1991315,Newport,Newport,Outdoor,1991,A,32,"$175,000 "
1992311,London,London,Outdoor,1992,A,56,"$525,000 "
1992440,S-Hertogenbosch,Rosmalen,Outdoor,1992,A,32,"$260,000 "
19927310,Manchester,Manchester,Outdoor,1992,A,32,"$260,000 "
1992540,Wimbledon,London,Outdoor,1992,G,128,
1992315,Newport,Newport,Outdoor,1992,A,32,"$200,000 "
1993311,London,London,Outdoor,1993,A,56,"$625,000 "
1993440,S-Hertogenbosch,Rosmalen,Outdoor,1993,A,32,"$300,000 "
1993500,Halle,Halle,Outdoor,1993,A,32,"$375,000 "
19937310,Manchester,Manchester,Outdoor,1993,A,32,"$300,000 "
1993540,Wimbledon,London,Outdoor,1993,G,128,
