1971520,Roland Garros,Paris,Outdoor,1971,Clay,G,128,
1971347,Bournemouth,Bournemouth,Outdoor,1971,Clay,A,32,
1971406,Brussels,Brussels,Outdoor,1971,Clay,A,32,
1971313,Bristol,Bristol,Outdoor,1971,Grass,A,32,
19712049,Eastbourne,"Eastbourne, Great Britain",Outdoor,1971,Grass,A,64,
1971311,London,London,Outdoor,1971,Grass,A,64,
1971540,Wimbledon,London,Outdoor,1971,Grass,G,128,
1971316,Bastad,Bastad,Outdoor,1971,Clay,A,32,
1971314,Gstaad,Gstaad,Outdoor,1971,Clay,A,32,
19712050,Newport,Newport,Outdoor,1971,Grass,A,32,
1971418,Washington,Washington,Outdoor,1971,Clay,A,64,
19712051,Tanglewood,Clemmons,Outdoor,1971,Hard,A,64,
1971663,Louisville,Louisville,Outdoor,1971,Clay,A,32,
1971343,Columbus,Columbus,Outdoor,1971,Hard,A,32,
19712044,Quebec,Quebec City,Indoor,1971,Hard,A,32,
1971422,Cincinnati Masters,Cincinnati,Outdoor,1971,Clay,M,64,"$30,000 "
1971661,Dusseldorf,Dusseldorf,Outdoor,1971,Clay,A,32,
1971317,Amersfoort,Hilversum,Outdoor,1971,Hard,A,64,
1971417,Boston,Boston,Outdoor,1971,Hard,A,32,
1971717,Houston,Indianapolis,Outdoor,1971,Clay,A,64,
1971421,Canada Masters,Montreal,Outdoor,1971,Clay,M,64,"$50,000 "
1971653,Fort Worth WCT,Fort Worth,Outdoor,1971,Hard,A,32,
19712030,Merion,Merion,Outdoor,1971,Hard,A,64,
1971560,US Open,New York,Outdoor,1971,Grass,G,128,"$88,300 "
1971707,South Orange,South Orange,Outdoor,1971,Hard,A,64,
1971423,Los Angeles,Los Angeles,Outdoor,1971,Hard,A,64,
1971654,Sacramento,Sacramento,Outdoor,1971,Hard,A,64,
1971424,San Jose,Berkeley,Outdoor,1971,Hard,A,64,
19712048,Vancouver WCT,Vancouver,Outdoor,1971,Hard,A,32,
1971332,Cologne,Cologne,Indoor,1971,Carpet,A,32,
1971425,Barcelona,Barcelona,Outdoor,1971,Clay,A,64,
1971429,Stockholm,Stockholm,Indoor,1971,Hard,A,64,
1971430,Antwerp,Wembley,Indoor,1971,Hard,A,32,
1971312,Bologna,Bologna,Indoor,1971,Carpet,A,64,
1971610,Dallas WCT,Dallas,Indoor,1971,Carpet,A,8,
1971303,Buenos Aires,Buenos Aires,Outdoor,1971,Clay,A,32,
1971605,Tour Finals,Paris,Indoor,1971,Carpet,F,7,
1972580,Australian Open,Melbourne,Outdoor,1972,Grass,G,64,
1972816,Baltimore WCT,Baltimore,Outdoor,1972,Hard,A,16,
19722060,Sydney N.S.W.,Sydney,Outdoor,1972,Hard,A,32,
1972713,Hobart,Hobart,Outdoor,1972,Grass,A,16,
19722022,Roanoke,Roanoke,Outdoor,1972,Hard,A,4,
19722064,London Indoor,London,Indoor,1972,Hard,A,16,
19727308,Adelaide,Adelaide,Outdoor,1972,Grass,A,16,
19722036,Omaha,Omaha,Indoor,1972,Hard,A,16,
19722061,Des Moines,Des Moines,Indoor,1972,Hard,A,16,
19722062,Kansas City,Kansas City,Indoor,1972,Hard,A,16,
1972802,Richmond WCT,Richmond,Indoor,1972,Carpet,A,32,
1972401,Philadelphia,Philadelphia,Indoor,1972,Carpet,A,32,
19722057,Los Angeles,Los Angeles,Indoor,1972,Hard,A,32,
1972302,Toronto Indoor,Toronto,Indoor,1972,Carpet,A,32,
19722058,New York,New York,Indoor,1972,Hard,A,64,
1972657,Hampton,Hampton,Indoor,1972,Hard,A,32,
1972681,Miami,Miami,Outdoor,1972,Hard,A,32,
1972710,Washington,Washington,Indoor,1972,Carpet,A,32,
1972818,Chicago WCT,Chicago,Indoor,1972,Carpet,A,32,
1972344,Caracas,Caracas,Outdoor,1972,Hard,A,32,
1972410,Monte Carlo Masters,Monte Carlo,Outdoor,1972,Clay,M,32,"$20,000 "
19722066,Macon,Macon,Indoor,1972,Carpet,A,32,
1972426,Johannesburg,Johannesburg,Outdoor,1972,Hard,A,32,
1972405,Houston,Houston,Outdoor,1972,Clay,A,32,
19722026,Madrid Masters,Madrid,Outdoor,1972,Clay,M,64,
19722044,Quebec,Quebec City,Indoor,1972,Hard,A,32,
1972436,Bermuda,Charlotte,Outdoor,1972,Clay,A,32,
1972305,Nice,Nice,Outdoor,1972,Clay,A,64,
1972416,Rome Masters,Rome,Outdoor,1972,Clay,M,64,"$56,000 "
1972389,Denver,Denver,Indoor,1972,Carpet,A,32,
1972413,Las Vegas,Las Vegas,Outdoor,1972,Hard,A,32,
1972347,Bournemouth,Bournemouth,Outdoor,1972,Clay,A,32,
1972406,Brussels,Brussels,Outdoor,1972,Clay,A,32,
1972610,Dallas WCT,Dallas,Indoor,1972,Carpet,A,8,
1972520,Roland Garros,Paris,Outdoor,1972,Clay,G,128,
1972414,Hamburg Masters,Hamburg,Outdoor,1972,Clay,A,64,
1972313,Bristol,Bristol,Outdoor,1972,Grass,A,32,
19722049,Eastbourne,Eastbourne,Outdoor,1972,Grass,A,32,
1972311,London,London,Outdoor,1972,Grass,A,64,
1972540,Wimbledon,London,Outdoor,1972,Grass,G,128,
1972652,St. Louis WCT,St. Louis,Indoor,1972,Carpet,A,32,
1972706,Bretton Woods,Bretton Woods,Outdoor,1972,Hard,A,32,
1972316,Bastad,Bastad,Outdoor,1972,Clay,A,32,
1972314,Gstaad,Gstaad,Outdoor,1972,Clay,A,32,
1972319,Kitzbuhel,Kitzbuehel,Outdoor,1972,Clay,A,64,
1972343,Columbus,Columbus,Outdoor,1972,Hard,A,32,
1972418,Washington,Washington,Outdoor,1972,Clay,A,64,
1972661,Dusseldorf,Dusseldorf,Outdoor,1972,Clay,A,16,
1972663,Louisville,Louisville,Outdoor,1972,Clay,A,32,
19722051,Tanglewood,Tanglewood,Outdoor,1972,Hard,A,32,
1972422,Cincinnati Masters,Cincinnati,Outdoor,1972,Clay,M,64,"$42,500 "
1972317,Amersfoort,Hilversum,Outdoor,1972,Hard,A,64,
1972417,Boston,Boston,Outdoor,1972,Hard,A,32,
1972717,Houston,Indianapolis,Outdoor,1972,Clay,A,64,"$60,000 "
1972320,Cleveland,Cleveland,Outdoor,1972,Hard,A,32,
1972421,Canada Masters,Montreal,Outdoor,1972,Clay,M,128,"$70,000 "
1972653,Fort Worth WCT,Fort Worth,Outdoor,1972,Hard,A,32,
19722030,Merion,Merion,Outdoor,1972,Hard,A,64,
1972707,South Orange,South Orange,Outdoor,1972,Hard,A,32,
1972560,US Open,New York,Outdoor,1972,Grass,G,128,"$117,000 "
19722052,Montreal WCT,Montreal,Outdoor,1972,Hard,A,32,
1972654,Sacramento,Sacramento,Outdoor,1972,Hard,A,32,
19722043,Seattle,Seattle,Outdoor,1972,Hard,A,32,
1972424,San Jose,Albany,Outdoor,1972,Carpet,A,64,
1972423,Los Angeles,Los Angeles,Outdoor,1972,Hard,A,64,"$60,000 "
19722053,Alamo WCT,Alamo,Outdoor,1972,Hard,A,32,
1972329,Tokyo,"Tokyo, Japan",Outdoor,1972,Hard,A,32,
19722048,Vancouver WCT,Vancouver,Outdoor,1972,Hard,A,32,
1972425,Barcelona,Barcelona,Outdoor,1972,Clay,A,64,
19722054,Essen WCT,Essen,Indoor,1972,Carpet,A,32,
1972508,Gothenberg WCT,Gothenberg,Indoor,1972,Carpet,A,32,
1972429,Stockholm,Stockholm,Indoor,1972,Hard,A,64,
19722016,London,London,Indoor,1972,Carpet,A,32,
19729036,Rotterdam WCT,Rotterdam,Indoor,1972,Carpet,A,32,
19722056,Rome WCT,Rome,Indoor,1972,Carpet,A,16,
1972605,Tour Finals,Barcelona,Indoor,1972,Carpet,F,8,
1972303,Buenos Aires,Buenos Aires,Outdoor,1972,Clay,A,32,
1972254,Johannesburg,Johannesburg,Outdoor,1972,Hard,A,16,
1972326,Singapore,Brisbane,Outdoor,1972,Hard,A,64,
19722047,Jacksonville,Jacksonville,Indoor,1972,Hard,A,16,
1973580,Australian Open,Melbourne,Outdoor,1973,Grass,G,64,
1973816,Baltimore WCT,Baltimore,Indoor,1973,Hard,A,16,
1973681,Miami,Miami,Outdoor,1973,Hard,A,32,"$50,000 "
1973650,Birmingham,Birmingham,Outdoor,1973,Hard,A,16,
1973262,London WCT,London,Indoor,1973,Hard,A,32,"$50,000 "
1973430,Antwerp,London,Indoor,1973,Carpet,A,32,"$50,000 "
19732022,Roanoke,Roanoke,Outdoor,1973,Hard,A,16,
1973813,La Costa WCT,Lacosta,Outdoor,1973,Hard,A,32,"$50,000 "
19732036,Omaha,Omaha,Indoor,1973,Hard,A,32,
19732061,Des Moines,Des Moines,Indoor,1973,Hard,A,32,
1973408,Milan,Milan,Indoor,1973,Carpet,A,32,
1973802,Richmond WCT,Richmond,Indoor,1973,Carpet,A,32,"$50,000 "
1973401,Philadelphia,Philadelphia,Indoor,1973,Carpet,A,32,
19732039,Salt Lake City,Salt Lake City,Indoor,1973,Hard,A,24,
1973302,Toronto Indoor,Toronto,Indoor,1973,Carpet,A,32,"$50,000 "
19732038,Calgary,Calgary,Indoor,1973,Hard,A,32,"$17,500 "
1973481,Copenhagen,Copenhagen,Indoor,1973,Carpet,A,32,"$50,000 "
1973332,Cologne,Cologne,Indoor,1973,Carpet,A,32,"$50,000 "
1973818,Chicago WCT,Chicago,Indoor,1973,Carpet,A,32,"$50,000 "
1973657,Hampton,Hampton,Indoor,1973,Hard,A,32,
19732037,Paramus,Paramus,Indoor,1973,Hard,A,16,
19736945,Charleston,"Charleston, United States",Indoor,1973,Carpet,A,16,"$15,000 "
1973412,Atlanta,Atlanta,Outdoor,1973,Clay,A,32,"$50,000 "
1973710,Washington,Washington,Indoor,1973,Carpet,A,32,"$50,000 "
19736835,Washington Indoor,"Washington, United States",Indoor,1973,Carpet,A,32,
1973656,Jackson,Jackson,Indoor,1973,Hard,A,16,
1973652,St. Louis WCT,St. Louis,Indoor,1973,Carpet,A,32,"$50,000 "
1973659,Valencia,Valencia,Outdoor,1973,Clay,A,64,
19732048,Vancouver WCT,Vancouver,Outdoor,1973,Hard,A,32,
1973278,Barcelona,Barcelona,Outdoor,1973,Clay,A,64,
1973405,Houston,Houston,Outdoor,1973,Clay,A,32,"$50,000 "
1973804,Munich WCT,Munich,Indoor,1973,Carpet,A,32,"$50,000 "
1973406,Brussels,Brussels,Indoor,1973,Carpet,A,32,"$50,000 "
1973320,Cleveland,Cleveland,Indoor,1973,Carpet,A,32,"$50,000 "
1973410,Monte Carlo Masters,Monte Carlo,Outdoor,1973,Clay,M,48,"$20,000 "
1973305,Nice,Nice,Outdoor,1973,Clay,A,32,
1973436,Bermuda,Charlotte,Outdoor,1973,Clay,A,32,"$50,000 "
1973254,Johannesburg,Johannesburg,Outdoor,1973,Hard,A,32,"$50,000 "
1973389,Denver,Denver,Indoor,1973,Carpet,A,32,"$50,000 "
1973508,Gothenberg WCT,Gothenberg,Indoor,1973,Carpet,A,32,"$50,000 "
19732026,Madrid Masters,Madrid,Outdoor,1973,Clay,M,64,
1973310,Oporto,Florence,Outdoor,1973,Clay,A,64,
1973347,Bournemouth,Bournemouth,Outdoor,1973,Clay,A,64,
1973610,Dallas WCT,Dallas,Indoor,1973,Carpet,A,8,
1973413,Las Vegas,Las Vegas,Outdoor,1973,Hard,A,32,
1973520,Roland Garros,Paris,Outdoor,1973,Clay,G,128,
1973416,Rome Masters,Rome,Outdoor,1973,Clay,M,128,"$101,600 "
